,benchmark,cores,frequency,power,throughput
98,klsm256,32,1500000,153.22802435,117300575
146,klsm256,32,2000000,176.12439584999998,151162796
147,klsm256,32,2000000,176.12439584999998,151344607
148,klsm256,32,2000000,176.12439584999998,151846988
145,klsm256,32,2000000,176.12439584999998,153417410
149,klsm256,32,2000000,176.12439584999998,154623775
199,klsm256,32,2500000,203.15251769999998,181654394
198,klsm256,32,2500000,203.15251769999998,182350553
196,klsm256,32,2500000,203.15251769999998,183706566
195,klsm256,32,2500000,203.15251769999998,184238489
197,klsm256,32,2500000,203.15251769999998,185085557
245,klsm256,32,2800000,218.91792299999997,196992192
247,klsm256,32,2800000,218.91792299999997,198563302
246,klsm256,32,2800000,218.91792299999997,199977867
249,klsm256,32,2800000,218.91792299999997,200345082
248,klsm256,32,2800000,218.91792299999997,202658557
